x,y,B02,B03,B04,B05,B06,B07,B08,B09,B11,B12,Label
37,74,615,1007,976,1115,2529,2977,3283,2540,1949,1167,jalan
38,75,719,991,1114,1251,2365,2671,2916,2540,2167,1271,jalan
39,76,672,989,1062,1279,2641,2851,2812,2540,2034,1345,jalan
40,77,540,844,850,1360,2325,2714,2756,2540,2136,1425,jalan
41,78,728,985,1060,1260,2347,2628,2644,2510,2044,1269,jalan
42,80,576,860,869,1129,2224,2825,2819,2688,1881,1222,jalan
44,80,602,894,915,1257,2441,2942,3003,2688,2085,1285,jalan
46,80,592,949,971,1370,2605,2827,3009,2688,2236,1418,jalan
48,80,709,1016,1072,1383,2518,2972,2850,2876,2414,1508,jalan
49,81,527,816,814,1383,2518,2972,2834,2876,2414,1508,jalan
51,81,480,759,777,1248,2384,2876,3123,2876,2304,1336,jalan
52,81,427,713,640,1140,2419,2915,3085,2876,2080,1185,jalan
99,84,852,1068,1274,1340,2123,2269,2456,3259,2088,1588,jalan
101,84,767,1068,1116,1283,2030,2379,2337,3259,2067,1496,jalan
103,84,317,517,506,1110,1803,2111,2218,3035,1939,1279,jalan
97,85,508,792,760,1244,2018,2345,2499,3259,1995,1420,jalan
96,86,466,756,675,1572,2406,2581,2542,3259,2104,1530,jalan
95,88,1156,1582,1950,1368,2092,2309,2747,3291,1936,1409,jalan
93,89,594,861,955,1135,2235,2672,2213,3291,1773,1115,jalan
92,91,651,930,893,1441,2206,2411,2394,3231,1996,1326,jalan
91,92,1021,1322,1518,1516,2338,2461,2383,3231,2182,1555,jalan
93,93,630,930,1190,1557,2193,2380,2331,3231,2164,1555,jalan
94,94,659,1006,1218,1461,2185,2383,2395,3231,2302,1608,jalan
95,95,621,941,1176,1461,2185,2383,2503,3231,2302,1608,jalan
96,96,609,974,1088,1538,2394,2709,2740,2649,2333,1606,jalan
97,97,846,1222,1338,1538,2394,2709,2572,2649,2333,1606,jalan
101,98,799,1178,1330,1520,2158,2365,2134,2649,2117,1470,jalan
99,99,670,1058,1200,1406,2041,2205,2351,2649,2159,1480,jalan
102,99,593,841,1100,1472,1863,1874,1735,2840,1836,1396,jalan
110,99,767,946,1098,1334,1901,1935,1598,2532,1548,1150,jalan
113,99,836,1032,1168,1134,1735,1961,1694,2532,1523,1196,jalan
104,100,730,981,1166,1455,1795,1922,1707,2840,1927,1466,jalan
109,100,832,1036,1102,1329,1432,1603,1438,2532,1605,1286,jalan
112,100,890,1172,1218,1290,1546,1395,1775,2532,1447,1255,jalan
105,101,682,1012,1180,1455,1795,1922,1862,2840,1927,1466,jalan
111,101,912,1168,1332,1340,1403,1471,1686,2532,1514,1194,jalan
108,102,861,1094,1328,1460,1861,2028,1854,2391,1858,1472,jalan
115,102,624,775,851,1165,1418,1409,1250,2475,1377,1142,jalan
107,103,596,932,977,1544,1984,2073,2074,2604,2177,1609,jalan
108,103,730,1014,1166,1460,1861,2028,1925,2391,1858,1472,jalan
111,103,564,681,821,1397,1596,1785,1447,2391,1642,1323,jalan
114,103,582,753,772,1165,1418,1409,1161,2475,1377,1142,jalan
117,103,828,986,1052,1210,1335,1527,1397,2475,1418,1155,jalan
110,104,667,1000,1050,1296,2036,2175,1861,2391,1957,1391,jalan
112,104,842,1120,1136,1384,1737,1893,1807,2391,1708,1335,jalan
116,104,769,956,1126,1268,1468,1463,1389,2475,1454,1291,jalan
119,104,625,998,899,1255,1613,1811,2584,2475,1629,1206,jalan
112,105,852,1104,1288,1384,1737,1893,1961,2391,1708,1335,jalan
115,105,794,946,1148,1404,1634,1527,1539,2475,1576,1301,jalan
119,105,384,734,542,1255,1613,1811,2780,2475,1629,1206,jalan
113,106,962,1338,1446,1395,1952,2033,2116,2391,1889,1410,jalan
118,106,418,728,707,1293,1985,2342,2531,2475,1879,1293,jalan
115,107,843,1076,1342,1445,1656,1875,2032,2475,1762,1422,jalan
117,107,841,1204,1204,1485,1719,1799,2306,2475,1759,1443,jalan
116,108,860,1200,1244,1384,1710,1769,2014,2526,1723,1385,jalan
80,109,822,1146,1378,1687,1983,2089,2101,2454,2290,1865,jalan
117,109,756,1028,1216,1384,1710,1769,2103,2526,1723,1385,jalan
79,110,1002,1306,1676,1411,2148,2396,2359,2454,2217,1571,jalan
80,110,944,1188,1474,1599,1975,2142,2082,2454,2378,1857,jalan
84,110,1078,1430,1586,1699,2182,2314,2347,2176,2514,1929,jalan
85,110,1176,1544,1598,1699,2182,2314,2482,2176,2514,1929,jalan
86,110,1068,1356,1494,1769,2290,2454,2612,2176,2585,1998,jalan
118,110,655,913,1074,1291,1611,1898,1816,2526,1746,1210,jalan
79,111,766,1074,1268,1411,2148,2396,2320,2454,2217,1571,jalan
81,111,927,1190,1360,1599,1975,2142,2170,2454,2378,1857,jalan
87,111,860,1146,1272,1769,2290,2454,2480,2176,2585,1998,jalan
119,111,753,1086,1082,1291,1611,1898,2132,2526,1746,1210,jalan
81,112,574,889,851,1486,2026,2270,2490,2454,2341,1673,jalan
83,112,678,962,1172,1489,2232,2491,2609,2454,2463,1805,jalan
87,112,1086,1360,1582,1881,2179,2240,2394,2176,2550,2029,jalan
87,113,1130,1460,1544,1881,2179,2240,2337,2176,2550,2029,jalan
87,114,930,1262,1372,1878,2138,2177,2264,2449,2417,1943,jalan
88,114,378,576,621,1146,2080,2418,2413,2449,2148,1442,jalan
87,115,658,961,1064,1878,2138,2177,2304,2449,2417,1943,jalan
85,116,1180,1510,1748,1768,2172,2294,2489,2449,2437,1881,jalan
86,116,819,1146,1404,1698,2224,2395,2452,2449,2451,1832,jalan
85,117,883,1220,1444,1768,2172,2294,2447,2449,2437,1881,jalan
86,117,573,864,997,1698,2224,2395,2627,2449,2451,1832,jalan
84,118,879,1220,1432,1854,2264,2419,2358,2449,2550,2075,jalan
83,119,1196,1560,1804,1825,2238,2473,2495,2834,2599,2008,jalan
83,120,1234,1544,1882,1972,2377,2428,2540,3134,2573,2082,jalan
85,121,1094,1328,1688,1894,2180,2216,2071,2601,2454,2028,jalan
86,121,920,1230,1476,1822,2077,2199,2064,2601,2454,1978,jalan
87,121,738,1110,1178,1822,2077,2199,2285,2601,2454,1978,jalan
88,121,819,1146,1240,1734,2207,2403,2500,2601,2359,1869,jalan
89,121,931,1176,1426,1734,2207,2403,2387,2601,2359,1869,jalan
90,132,1038,1312,1512,1657,2007,2177,2177,2315,2141,1674,jalan
91,133,1158,1366,1708,1657,2007,2177,2241,2315,2141,1674,jalan
92,134,1162,1428,1632,1783,2025,2102,2125,2315,2109,1786,jalan
93,135,1116,1344,1582,1783,2025,2102,2025,2315,2109,1786,jalan
94,136,1114,1354,1594,1667,1902,2034,2109,2315,2379,1941,jalan
95,137,954,1242,1500,1667,1902,2034,2300,2315,2379,1941,jalan
340,190,601,991,1390,1641,2626,2751,2834,3049,2437,1556,jalan
341,190,510,929,1230,1641,2626,2751,2852,3049,2437,1556,jalan
342,190,499,844,1118,1541,2483,2828,2778,3370,2443,1507,jalan
345,190,599,999,1504,1626,2417,2673,2646,3370,2454,1514,jalan
346,190,521,839,1310,1648,2296,2460,2306,3370,2281,1418,jalan
340,191,459,832,1142,1641,2626,2751,2844,3049,2437,1556,jalan
345,191,505,861,1410,1626,2417,2673,2454,3370,2454,1514,jalan
346,191,555,926,1506,1648,2296,2460,2454,3370,2281,1418,jalan
337,192,509,792,1220,1625,2096,2262,2452,2291,2111,1411,jalan
339,192,375,663,779,1503,2299,2671,2974,2291,2224,1330,jalan
348,192,534,870,1272,1481,2259,2427,2284,2906,2115,1306,jalan
349,192,577,867,1230,1481,2259,2427,2439,2906,2115,1306,jalan
350,192,566,863,1082,1505,2398,2824,2920,2906,2276,1407,jalan
351,192,578,856,1009,1505,2398,2824,3101,2906,2276,1407,jalan
335,193,555,891,1564,1562,1880,1974,2264,2558,2060,1463,jalan
336,193,480,810,1300,1625,2096,2262,2321,2291,2111,1411,jalan
338,193,348,669,620,1503,2299,2671,2819,2291,2224,1330,jalan
351,193,670,1058,1310,1505,2398,2824,3010,2906,2276,1407,jalan
330,194,501,840,1382,1643,2128,2273,2068,2558,2164,1445,jalan
334,194,552,920,1538,1752,2223,2419,2372,2558,2150,1397,jalan
